贴文ID,作者名字,认证状态,粉丝数,转评赞数,微博内容,话题名称,视频标题
P3Cwfd0EE,金融八卦女,True,3518982,14163669,#周鸿祎感谢马化腾解决微信好友上限问题#上次卖迈巴赫，请二手车商吃饭，晚宴上的人都说他不愿意加他们为好友，让他浑身是嘴也说不清楚。万般无奈，只好找马总求救。马总默默升级了微信，给了一个很有效的解决方案。”接着周鸿祎在视频中展现了他在微信删除单向好友的操作画面。  周鸿祎还表示，“我要 ,周鸿祎感谢马化腾解决微信好友上限问题/周鸿祎对想加微信的来者不拒,东方财经的微博视频
OjdWggJYZ,名人张聊,True,928483,1597022,腾讯创始人马化腾：要有所为有所不为，找最有潜力的合作者比死磕更有效。  #马化腾##腾讯##企业管理##老张杂谈# http://t.cn/A6Q2MQQL ,马化腾/腾讯/企业管理/老张杂谈,名人张聊的微博视频
L7OMryiq3,今日灼见,True,1059519,6903207,【马化腾宣布：近乎清仓式减持京东！1000亿股票直接送给腾讯股民！网友：共同富裕了】  23日一大早。腾讯就搞了一件大事，变相的、几乎全仓“减持”京东的股份，自己只留2.3%，不再是京东的第一大股东。  另外，更骚的操作来了：“减持”的京东股份，直接送给腾讯的股东！  01  派息式减持！腾讯对京东 ,老铁说股,老铁说股的微博视频
O9EnVtPk9,麒炜投资,True,287733,3122240,雷军说:马化腾创业的时候要把QQ卖给我我没买，阿里巴巴找我投资我没投！  一语道破隐藏多年的秘密……哈哈哈！http://t.cn/A6T0JFWi #su7上市前半月雷军平均日更5条微博# #雷军问大家满意小米汽车吗# ,su7上市前半月雷军平均日更5条微博/雷军问大家满意小米汽车吗,麒炜投资的微博视频
NeEhWinCx,通信老柳,True,1333609,3932632,马化腾年轻时候有多牛？看完只有佩服二字！不要相信牛人都是白手起家。 http://t.cn/A60dHn59 ,,通信老柳的微博视频
O5r4Xk5ub,金刀王,True,1764762,10478305,#身边逐渐消失的职业#小偷越来越少了几乎消失了，消灭小偷的是马化腾大人，你能想得到？现在还有的小偷可能也就是复古一下吧，或者渣男偷心。 http://t.cn/A6TPjkxg ,身边逐渐消失的职业,金刀王的微博视频
M0zQijC1n,老板联播,True,6092931,154984760,【#雷军曾报价1000万收购网易遭拒#，#雷军玩BBS结识马化腾和丁磊#】8月11日晚，#2022雷军年度演讲#上，雷军揭秘，玩BBS时认识了不少朋友，一位就是在一家寻呼机公司做程序员的马化腾，还有一位是宁波电信局的工程师丁磊。1997年互联网兴起之后，他准备让金山以收购的方式进军互联网，他向丁磊报价1000 ,雷军曾报价1000万收购网易遭拒/雷军玩BBS结识马化腾和丁磊/2022雷军年度演讲,老板联播的微博视频
Lu61Mf1fy,许有希光,True,325199,6342648,马化腾在未来论坛上演讲表示：中国基础学科非常薄弱，移动支付的发展只是表面辉煌，实际上如同“海滩上建楼，一推就倒”，所以，我们不能再抱有侥幸心理，一定要投入更多资源在基础科学方面”。#夏日视界##给视频加buff# http://t.cn/A6XSlPJJ ,夏日视界/给视频加buff,许有希光的微博视频
OCoNb5AYl,名人张聊,True,928483,1597022,马化腾开会：连开三个小时，所有人提前10分钟厕所集合。  #马化腾##腾讯##工作效率##老张杂谈# http://t.cn/A6Esk13o ,马化腾/腾讯/工作效率/老张杂谈,名人张聊的微博视频
Odd6EmMGB,电商行业,True,2904443,8875502,我们移动支付有多领先，马化腾：连街上的乞丐都支持扫码。 http://t.cn/A6HAbmI8 ,,电商行业的微博视频
KnLQYa3gY,中新经纬,True,15010590,152523473,【#马化腾称王者荣耀将举办AI电竞赛# 你期待吗[喵喵]】2021世界人工智能大会开幕式上，腾讯公司董事会主席兼CEO马化腾虽然缺席，但他用语音带来一个新消息：这次腾讯带来王者荣耀的AI电竞赛，希望让大家欣赏到最高水平的AI竞技的同时，激发青年人对通用AI的研究兴趣。#马化腾再次缺席世界人工智能大会# ,马化腾称王者荣耀将举办AI电竞赛/马化腾再次缺席世界人工智能大会/财视频,中新经纬的微博视频
OoaJZ2HgN,电商报,True,4266514,52793385,张一鸣长着一张娃娃脸，身为创始人，却一度被忽略，然而他靠着自己的能力和认知，干出了万亿帝国！ http://t.cn/A68zlEBy ,,电商报的微博视频
L69G9nQEB,历史探秘,True,1493702,7780029,娃哈哈创始人宗庆后当众问服务器在哪，腾讯马化腾半天不敢说～[允悲] http://t.cn/A6xE759v ,,历史探秘的微博视频
OBaSdyxXU,麒炜投资,True,287734,3122245,38岁的雷军说：每天时时刻刻都在提醒自己，千万别把自己当人看！  谈到周鸿祎、马化腾、李彦宏…… #雷军给的人生建议都好接地气# http://t.cn/A6ERQjUO ,雷军给的人生建议都好接地气,麒炜投资的微博视频
Lw1DQsPK7,鸡王陈大白,False,2958509,293731,马化腾，我怀疑这设计师是不是你小姨子啊！#和平精英# #吃鸡# #陈大白#  http://t.cn/A6XH9WHG ,和平精英/吃鸡/陈大白,鸡王陈大白的微博视频
KA5zznaQw,清凉历史,True,574859,1224552,刘强东：我用了30年时间，才能和马化腾马云坐一起喝咖啡、谈合作#清凉历史# #微博公开课# #视频新星榜# http://t.cn/A6M5Gle1 ,清凉历史/微博公开课/视频新星榜,清凉历史的微博视频
P2RK5BnS0,跨境必读,True,671842,1219111,宗庆后质问马化腾：我们的后台服务器到底在美国还是中国，对此马化腾面露难色无法做出正面回答。 http://t.cn/A6mf8bKX ,,跨境必读的微博视频
Ot7mJ5gPz,盖世肉姐,True,165381,541067,吴召国嘲讽辛巴：比如雷军，马云，马化腾在大佬面前啥也不是。何况我们算啥呢！低调做人，老老实实的做事，千万别张狂到‘我是神’！啪一个雷打过来，你就死了！ http://t.cn/A6RA6dTs ,,盖世肉姐的微博视频
LlbZmoqQM,金融八卦女,True,3518983,14163669,腾讯只是一个普通公司[doge]【#马化腾说腾讯业绩像自己的腰一样#：不那么突出了】 在2020年一场线上交流中，马化腾曾和员工调侃起自己腰椎不好的老毛病，经过了一年时间的锻炼，拍了部腰的片子，片子的结果和腾讯2020年的业绩一样“突出”；一年后，在那场引发了“腾讯是一家普通公司”热议的员工大会 ,马化腾说腾讯业绩像自己的腰一样/腾讯净利增速创十年来新低,第一财经日报的微博视频
Mo75SuMpt,螺旋实验室,True,1341,2331,天津大爆炸靠近腾讯天津最大数据中心，马化腾：如果再严重一点，你们朋友圈数据全都没有了 http://t.cn/A69LQKsY ,,螺旋实验室的微博视频
OcPTF4ALj,麒炜投资,True,287734,3122245,腾讯CEO马化腾:微商让我很头疼，他们动不动就拿钱跑路了！ http://t.cn/A6H7Yh6L ,,麒炜投资的微博视频
ODaPm8P7N,数码新探,True,455497,242380,马化腾最新内部发言：查处的贪腐问题“令人震惊”。 #最新# http://t.cn/A6nyYeh7 ,最新,数码新探的微博视频
Oy1Ra2Zkq,跨境必读,True,671842,1219111,马化腾：马云所说的赋能实际上是拿捏住了你的命脉，这跟我们有很大的不同。 http://t.cn/A6EAPztW ,,跨境必读的微博视频
KnLKuzrxW,大河财立方,True,3922676,7647634,【马化腾：我们对AI的未知仍然大于已知】7月8日，#2021世界人工智能大会#在上海开幕。腾讯公司董事会主席兼首席执行官马化腾在开幕上发表演讲指出，过去5年，AI在医疗、城市治理、非接触服务等领域为生活带来越来越多的便利，“但我们#对AI的未知仍然大于已知#。” http://t.cn/A6fo5UmT ,2021世界人工智能大会/对AI的未知仍然大于已知,大河财立方的微博视频
M5Z0HxuzQ,新浪科技,True,23801350,272803717,#马化腾辟谣羊了个羊小程序日赚468万#【羊了个羊日收入468万？马化腾辟谣：图是PS伪造的】#羊了个羊制作人否认日入468万# 近日，《羊了个羊》小游戏爆火，网上流传一张截图显示，《羊了个羊》小程序9月14日收入达到468万余元，而本月收入也高达2565余万元。随后，马化腾在相关朋友圈下面评论：核实了是 ,马化腾辟谣羊了个羊小程序日赚468万/羊了个羊制作人否认日入468万,新浪科技的微博视频
MegIAs9cD,臭臭新说,True,653208,2044135,马化腾教你做人。在一次大佬云集的论坛上，当马化腾发言的时候，坦诚的说：「我觉得我资历不够」，可以听听这段，说的很平静，也非常坦诚。 http://t.cn/A6o3gupH ,,臭臭新说的微博视频
Mdifs5h6X,全景网,True,2541459,9031556,#马化腾称移动互联网才是真正的互联网#，80%流量来自手机，现在都不开发Windows系统软件，因为没有人用！ http://t.cn/A6oTca36 ,马化腾称移动互联网才是真正的互联网,全景网的微博视频
P3BdUo5Ne,东方财经,True,1926317,1741812,【#周鸿祎感谢马化腾解决微信好友上限问题#，#周鸿祎对想加微信的来者不拒#】12月6日，360集团创始人、董事长@红衣大叔周鸿祎 发视频感谢马化腾增加微信好友查单删功能，他表示：“马化腾马总帮了我一个大忙，我真的特别感谢他。他把微信增加了一个功能，解决了困扰我很久的痛点。平时任何人加我微信， ,周鸿祎感谢马化腾解决微信好友上限问题/周鸿祎对想加微信的来者不拒,东方财经的微博视频
M0AmDw4qL,中新经纬,True,15010590,152523473,#雷军称泡论坛认识了网友马化腾丁磊#【#雷军回忆最迷茫时刻#常去泡吧，一蹦一晚上[doge]】8月11日，在2022雷军年度演讲上，@雷军 表示自己年轻时曾陷入迷茫，为了缓解压力经常去泡吧蹦迪，和朋友一蹦一晚上。雷军说是BBS论坛拯救了自己，并且在论坛上还认识了当时在做程序员的马化腾和工程师丁磊。 ,雷军称泡论坛认识了网友马化腾丁磊/雷军回忆最迷茫时刻/雷军7天成销冠,中新经纬的微博视频
OlApIv53G,李光斗,True,1611975,738483,为什么首富都跑不过李嘉诚？#商业思维##李嘉诚##马化腾##王健林# http://t.cn/A6QOg1lx ,商业思维/李嘉诚/马化腾/王健林,李光斗的微博视频
N3g605NwH,马上谈,True,477044,23963168,因错过投资阅后即焚，马化腾感慨：什么都没做错，就错在太老了…怪不得最近几年互联网中小企业又蓬勃发展了，感谢老去之恩[doge][doge][doge] http://t.cn/A6p4ojRY ,,马上谈的微博视频
P3CsVm86Z,大河财立方,True,3922676,7647634,【#微信上线新功能##周鸿祎发视频感谢马化腾#】12月6日，360集团创始人、董事长周鸿祎发视频感谢马化腾增加微信好友单删功能。周鸿祎表示：“我真的特别感谢马化腾，他把微信增加了一个功能，解决了困扰我很久的痛点。“此前，微信上线了新功能，当微信好友量到达1万上限后可查单删好友。具体而言，微 ,微信上线新功能/周鸿祎发视频感谢马化腾,大河财立方的微博视频
M9PgmvrGb,鬼文子,True,989737,1663384,【#科技考古#：解析人人公司CEO陈一舟的聪明人生】曾在社交领域与马化腾同期竞争，为何周鸿祎说他是湖北第一聪明？#微博公开课##微博新知博主# http://t.cn/A6ott0D8 ,科技考古/微博公开课/微博新知博主,鬼文子的微博视频
O2pG6BcLK,老高电商圈子,True,3007356,16029657,刘强东与马化腾联姻，半数以上高管曾联名反对！ http://t.cn/A6Ylq9vf ,,老高电商圈子的微博视频
KFQCWpXH9,深圳晚报,True,7745080,5707384,【#马化腾高中母校学弟对话诺奖得主#】霍金点与宇宙熵减、人类意识与量子效应......这居然是深圳中学00后高中生周恩正与“90后”诺奖得主彭罗斯的对话话题。硬核提问引得彭罗斯频频点头：“相当好的问题”，恩正表示这次对话让他更坚定地想成为科学家，将知识回馈到社会和世界上。00后这样硬核追星值得 ,马化腾高中母校学弟对话诺奖得主,深圳晚报的微博视频
Mcy5CgcpX,胡锡进,True,24850352,127503309,马斯克在10月6日的这段视频里明确说要“抄微信”，很公然很理直气壮。他现在完成了对推特的收购，可以将“抄袭计划”付诸实施了。 而腾讯迈出第一步又何尝不是“抄”来的 。“天下文章一大抄”，互相抄来抄去，中国的微信、抖音走到了世界的前列，中国的“双11”成了世界最大的网上购物节。  现在看看 ,鸿儒计划,胡锡进的微博视频
MkN0o4KKd,应旺,True,4131880,25534779,今天看了媒体报道，对于腾讯内部的大会，马化腾先生作了重要发言，并且揭开了自己的伤疤，说目前腾讯内部腐败现象比较严重，到达了触目惊心的。那么腾讯这几年的发展我们是有目共睹的，而且取得了可观的成绩，我们用的很多互联网产品APP都是来自于腾讯，但发展的好、光鲜亮丽并不一定代表着他没有问题 ,马化腾称腾讯内部贪腐问题触目惊心,应旺的微博视频
L9FzP5U1b,鸡王陈大白,False,2958509,293731,陈大白：马化腾，你坑钱的套路被我拿捏了，你拿什么和我斗？#和平精英# #吃鸡# #陈大白[超话]#  http://t.cn/A6JLXkEt ,和平精英/吃鸡,鸡王陈大白的微博视频
LtB5ruWU3,电商行业,True,2904443,8875502,#马化腾称赞刘强东对物流特别执着# 马化腾：刘强东对物流特别执着，哪怕友商认为不可行，他仍然坚持。这两天腾讯、京东相继发财报，第一季度，腾讯营收1355亿元，京东净收入2397亿元；京东物流Q1营收273.51亿元。#腾讯回应没有获得首批游戏版号##腾讯起诉vivo不正当竞争##腾讯发布2022年一季度财报#   ,马化腾称赞刘强东对物流特别执着/腾讯回应没有获得首批游戏版号/腾讯起诉vivo不正当竞争/腾讯发布2022年一季度财报,电商行业的微博视频
NrFrAtrPd,王赟,True,384235,22263826,当初是谁救了腾讯一命……#马化腾##腾讯##财经[超话]#  http://t.cn/A6WO3R3l ,马化腾/腾讯,王赟的微博视频
OaC5DgvVy,梨视频,True,26348625,442927459,【#周鸿祎马化腾罕见握手#，相逢一笑】4月20日，360公司创始人@周鸿祎 晒出了一张与腾讯CEO马化腾握手的照片，并亲切地称呼马化腾为“老朋友”。#周鸿祎回应卖车动机被质疑# #周鸿祎否认为哪吒抬轿子#   这一场景发生在由工信部和互联网协会联合举办的中国互联网三十周年座谈会上。此次座谈会汇聚了众 ,周鸿祎马化腾罕见握手/周鸿祎回应卖车动机被质疑/周鸿祎否认为哪吒抬轿子,周鸿祎的微博视频
Lp7oO5PtL,电商报,True,4266514,52793385,#马化腾说自己只会写软件#，想做其它领域，但没这个能力。跟创业早的前辈相比，自己的资历不够。 http://t.cn/A66gPhoq ,马化腾说自己只会写软件,电商报的微博视频
LptDKhCLr,五环短视频,True,1433427,10404478,【#王者荣耀供应商回应抄袭指控#：正紧急调查】4月21日，时空中的绘旅人指控#王者荣耀#抄袭其作品并表示，“赚那么多钱，请个会原创的设计师！”随后，王者荣耀供应商 @全速网络 发布公告，称正紧急调查该设计创作的实际情况，会尽快作出完整说明。此前，面对抄袭争议，马化腾回应：“产品的人员可能在 ,王者荣耀供应商回应抄袭指控/王者荣耀,五环短视频的微博视频
MrBQoyfcr,凤凰网科技,True,4592875,49345052,【兰世立：任正非、王传福都没有创新性 马云、马化腾只是仿冒者】#湖北前首富称任正非王传福没有创新性# 在由凤凰网财经主办的#2023长白山高峰论坛# 上，中国东星集团有限公司总裁兰世立火力全开，他表示，中国需要像马斯克、乔布斯一样有想象力、有创新能力的企业家，马斯克不止创立了特斯拉，在此前 ,湖北前首富称任正非王传福没有创新性/2023长白山高峰论坛/湖北前首富称马云马化腾只是仿冒者,凤凰网财经的微博视频
OaClgjlIb,头条新闻,True,111082988,1585067963,【3Q大战14年后，#周鸿祎马化腾握手聊天#】4月20日，360公司创始人@周鸿祎 晒出了与腾讯CEO马化腾握手的照片和视频，并亲切地称呼马化腾为“老朋友”。#周鸿祎马化腾罕见握手#  这一场景发生在由工信部和互联网协会联合举办的#中国互联网三十周年座谈会#上。此次座谈会汇聚了众多互联网行业的领军人物 ,周鸿祎马化腾握手聊天/周鸿祎马化腾罕见握手/中国互联网三十周年座谈会,周鸿祎的微博视频
MloPxhdtv,全荃1020,True,1106971,90801,腾讯  不反腐难生存？#马化腾称腾讯内部贪腐问题触目惊心# http://t.cn/A6KnOvrz ,马化腾称腾讯内部贪腐问题触目惊心,全荃1020的微博视频
N2w615XIM,电商报,True,4266514,52793385,马化腾：中国移动支付全球领先，在街上不管什么地方都支持扫码付费，甚至连乞丐都随身携带二维码！ http://t.cn/A6pwGHnp ,,电商报的微博视频
OcavM4Lm8,机智猫,True,557574,2891236,周鸿祎这个拍卖迈巴赫之后的饭局挺无语的：有人让他引荐马化腾认识，因为吃头孢不能喝酒，被人问真的假的[允悲] http://t.cn/A6TkKtpP ,,机智猫的微博视频
ObMMEdYv2,麒炜投资,True,287734,3122245,腾讯CEO马化腾回忆:360 偷袭，差点3天内将QQ全军覆没！这是腾讯12年以来遇到的最大灾难！  真是商场如战场啊！#腾讯张军回应微信撤回有提示# http://t.cn/A6TdaLDC ,腾讯张军回应微信撤回有提示,麒炜投资的微博视频
